word,frequency
modos,7
austeras,2
simbólicas,6
podrán,14
otorgarse,2
hubieren,14
otro,194
beneficio,13
reparatorio,3
derivado,8
calidad,100
asi,1
reparatorias,2
orden,316
pecuniario,1
deberán,8
siderar,1
hecho,359
reconocida,38
haya,136
reparatoria,3
permanente,47
indica,59
atender,12
circunstancias,287
calificada,1
ambas,38
fuera,86
deben,24
haberse,40
perpetrado,7
b,144
entendiéndose,1
particulares,71
tener,94
actuaban,15
conocimiento,120
tolerancia,6
aquiescencia,6
connivencia,5
precise,1
relación,87
formal,13
tipo,101
contractual,2
producido,28
fundacional,3
ob,2
jeto,1
calificación,39
pueden,56
incluidas,7
privadas,37
manifestaciones,23
públicas,48
puestas,14
disposición,133
tribunales,173
policía,103
local,83
algún,98
tribunal,101
crimen,45
delitos,157
condenadas,26
in,37
cluyen,1
retenciones,2
temporales,7
efectuadas,17
durante,731
allanamientos,54
masivos,20
operaciones,22
peineta,2
u,86
similar,27
control,124
colectivo,18
indiscriminado,11
población3,1
establecido,32
355,11
creó,27
actual,116
3,221
acción,230
hubiera,30
arresto,106
acompañadas,5
consideraron,6
incluidos,9
consideró,12
hubieran,14
tenido,77
resultado,97
consecuencia,147
directa,37
fallecimiento,20
encuentran,52
comprendidos,7
dentro,102
manda,1
to,30
última,59
puesto,61
ya,379
expresamente,24
norma,26
citada,8
limitación,7
atribuciones,38
estipula,1
asumir,18
funciones,80
jurisdiccional,10
pronunciarse,17
responsabilidad,290
arreglo,10
pudiere,5
caber,6
individuales,44
tomado,22
último,85
precisó,4
reglamento,12
aquellas,46
encontraren,2
actualmente,25
fallecidas,4
prestar,23
testimonio,86
ellas,165
direc,7
tos,23
acreditación,8
respectiva,22
normas,122
constituyen,26
básico,9
están,58
constitución,145
especialmente,225
capítulos,12
estableciendo,14
objetivos,30
integrantes,28
plazos,12
apo,1
yos,1
materiales,13
complementariamente,2
código,134
penal,112
cuerpo,396
normativo,18
tipificados,6
algunos,521
transgreden,1
seguridad,185
personales,20
verá,9
adelante,49
normativa,16
aludirá,1
dere,10
chos,10
complementa,1
fortalece,2
tenien,1
do,40
presente,108
ejercicio,67
soberanía,3
reconoce,22
esen,1
ciales,1
emanan,3
naturaleza,40
cuales,217
hallan,5
garantizados,4
tratados,18
internacionales,44
ratificados,5
encuentren,7
vigentes,14
18,206
modalidades,5
labor,44
estuvo,101
orientada,1
recabar,6
personal,370
motivación,23
básicas,8
operó,16
tuvieron,84
fuente,80
contenido,19
sustantivo,2
principios,53
generales,42
cho,3
asimismo,110
respaldo,19
tienen,57
actualidad,6
ámbito,27
continuación,56
señalan4,1
abarca,18
psíquica,10
moral,71
puedan,25
desarrollarse,1
provenga,1
repre,3
sentante,1
público,122
utiliza,9
consecución,2
objeti,1
vos,3
actúen,3
amparo,75
primeros,101
diversos,105
instrumentos,18
propia,58
constitu,3
ción,79
abordan,1
establecen,8
regulatorio,1
determinan,3
convenciones,13
respectivas,21
ellos,483
cabe,90
mencionar,20
claración,2
pacto,11
ci,1
viles,1
americana,8
deberes,11
hombre,199
4,241
todas,177
disposiciones,47
citan,3
estuvieron,108
éstas,49
título,24
ilustrativo,8
concepción,175
contenidos,12
respecto,270
recordar,39
plenamente,16
vigente,32
1925,19
junta,159
dictó,39
varios,223
decretos,50
leyes,88
modificaron,4
materias,21
propias,49
dicha,123
fundamen,1
señalándose,7
posteriormente,259
ello,262
correspondido,3
facultades,42
consti,2
tuyentes,1
asumidas,2
gobierno,256
1976,62
dictaron,6
actas,13
constitucionales,21
finalmente,87
1981,36
comenzó,25
regir,3
bajo,313
limitacio,1
nes,51
impuestas,12
estados,88
excepción,78
constitucional,51
promulgados,1
restringían,2
suspendían,1
vigencia,55
determina,6
das,28
garantías,44
vale,11
legislación,38
encontraban,130
recién,35
fines,92
aun,41
incluía,13
1980,134
fuerza,230
obligatoria,4
doméstico,1
convenios,9
declaraciones,122
plena,17
además,246
considerar,25
imperativas,1
aplicación,333
ius,1
cogens,1
condicio,8
extraordinarias,9
alegarse,1
falta,71
interna,47
obligación,40
respetarlos,1
19,182
convención,19
có,2
digo,3
naciones,36
unidas,35
interamericana,22
prevenir,19
sancionar,10
acto,97
inflija,2
intencionadamente,3
sean,39
físicos,32
mentales,9
obtener,63
ella,168
tercero,29
información,285
confesión,26
castigarla,5
sospeche,4
intimidar,9
coaccionar,6
otras,339
basada,7
discriminación,10
dichos,51
dolo,2
res,17
infligidos,3
funcionario,76
instigación,6
suya,10
consentimiento,9
aquies,2
cencia,2
considerarán,2
únicamente,12
sanciones,24
legítimas,5
inherentes,6
incidentales,2
definición,18
considera,34
realizado,63
intencionalmente,3
inflijan,2
penas,62
investigación,94
criminal,8
medio,88
intimidatorio,2
castigo,26
preventiva,14
pena,114
entenderá,3
tendientes,6
anular,5
personali,1
dad,23
disminuir,7
capacidad,32
mental,18
aunque,108
causen,1
físico,40
angustia,26
asamblea,15
señaló,81
1975,170
constituye,102
agravada,3
deliberada,6
trato,39
cruel,5
inhumano,2
degradante,3
adoptó,5
operativa,4
incorpora,2
elementos,96
am,4
bas,2
infligido,2
obte,1
ner,3
personalidad,9
basadas,4
frimientos,1
agente,37
actúe,3
onu,16
promulgada,2
808,2
publicado,27
viembre,1
1988,34
oea,16
809,2
20,219
refiere,33
comprenden,2
técnicas,11
conocen,7
denominación,4
específica,12
pau,21
arara,18
colgamiento,17
violentos,15
simultánea,8
mente,49
ambos,178
parrilla,33
electricidad,255
sub,19
marino,3
inmersión,28
prolongada,8
agua,248
fría,17
líquidos,4
ingesta,2
obligada,17
excrecencias,1
gama,2
vejaciones,71
sexuales,84
existen,75
persiguen,4
mismos,104
picana,4
golpizas,122
fusilamientos,34
simulados,2
reales,10
terceros,9
presencia,122
resto,56
observación,5
confinamiento,9
solitario,4
tiempos,33
prolongados,22
interrogatorios,359
horas,407
amenazas,193
represalias,8
denegación,1
alimentos,89
etc,60
persiga,1
distinto,17
taxativos,1
castigar,5
aplicar,21
motivo,42
requiere,12
victimario,3
grupo,219
uno,299
funcionarios,162
públicos,59
notar,15
existe,56
conducta,36
pasiva,2
omisión,9
deber,24
actuar,23
serán,14
responsables,43
delito,108
tortu,16
ra,10
empleados,26
pudiendo,19
impedirlo,4
hagan,10
alternativa,3
atañe,2
particularmente,18
jueces,32
funciona,4
rios,11
disyuntiva,2
aceptar,21
rechazar,8
extrajudicial,2
presuntamente,4
obtenida,5
disponen,3
ade,2
legales,55
comprobar,13
trata,59
movimiento,139
expresión,19
mera,5
decir,66
realizar,48
actividades,61
voluntad,20
deseo,4
cuyo,67
efectivo,29
posi,3
bilidad,1
será,31
coartada,1
suspendida,4
privada,12
arbitraria,11
injusta,8
21,134
desde,1124
punto,43
vista,96
consagración,2
encuentra,109
vinculado,13
tam,14
bién,14
adecuado,4
disfrute,1
nivel,41
certeza,17
jurídica,26
civiles,217
reglas,20
mínimas,16
tratamiento,25
reclusos,12
diferencia,18
prohibida,2
circunstancia,67
admite,4
