word,frequency
partners,4
thudding,1
13,1
divided,1
percent,5
thirtyfive,2
latin,2
five,6
many,5
pause,3
yell,2
greetings,1
hear,11
knocked,3
spider,3
rice,3
sixth,1
third,3
shoulda,4
seen,19
glove,3
touch,2
cmon,12
important,2
touches,3
bare,2
tell,12
whackedoff,1
lined,1
dented,1
lockers,1
wooden,1
benches,1
stretch,3
reads,6
kissing,1
goes,16
tries,8
fails,1
leans,9
ear,5
lock,5
rolls,3
tumblers,1
shakes,8
forcefully,1
luck,12
flustered,1
bench,2
ponder,1
situation,2
deep,7
thought,5
stands,20
seizes,1
smashes,4
opening,1
taken,4
aback,3
set,6
flashy,1
clothes,3
mumbling,1
14,3
picture,7
girls,2
pictures,2
powerful,1
shaped,1
hedge,1
clippers,1
mike,37
happenin,6
listen,10
mickey,154
put,10
belongings,1
crammed,1
wilted,1
shopping,3
follows,7
lathering,1
peanut,3
soap,3
irate,3
nobody,16
call,10
laugh,7
inflamed,2
bar,11
hurls,1
insulting,1
hits,1
shocked,4
silence,5
turns,20
curse,1
spanish,1
15,1
move,14
training,4
routines,1
ready,8
bite,2
english,1
creeds,14
fakes,2
friendly,2
punch,8
chore,1
stool,1
near,4
baggy,1
suit,3
seventies,1
conversing,1
care,5
woulda,2
never,24
made,10
thirties,2
feelin,7
monotoned,1
said,12
dryly,2
low,2
16,2
spitting,1
wait,4
till,2
done,9
boy,13
big,13
dipper,39
champ,9
mean,9
quick,3
dya,3
okay,6
needed,2
muscular,2
heavyweight,12
dippers,5
climber,1
youre,25
tomato,2
facts,2
cleanin,2
watch,9
middleweight,2
timeskip,1
trainer,32
sings,1
fascinatin,1
rhythm,1
july,4
twentyfive,2
17,1
difference,2
took,2
learn,1
combination,4
legs,10
must,3
nature,3
win,4
kayo,1
whod,2
everybody,8
shoots,1
indifferent,2
rosary,2
idly,4
fingers,2
18,1
truth,1
heart,7
ape,1
thing,10
pretty,4
brain,5
retire,1
steam,4
retirin,1
shrugging,1
mop,1
pail,1
gesturing,2
towards,12
known,3
since,5
fifteen,5
waste,2
life,13
dejected,1
travels,1
mouthful,1
smugly,1
dig,6
19,1
cruelly,1
scene,9
crestfallen,1
dusk,4
sunset,1
comes,5
eating,2
colonel,2
sanders,2
fried,1
chicken,2
bone,1
arranging,1
toys,2
hears,2
tapping,1
tenses,4
wow,1
catch,2
pneumonia,2
ah,8
came,1
somethin,9
oh,6
would,22
walk,5
say,28
yes,7
tremendous,1
inferiority,1
complex,1
will,12
permit,2
understands,1
buddy,3
doin,8
nice,5
goodnight,2
departure,1
emotions,1
andys,6
arrives,4
bones,2
public,4
trash,1
bicentennial,13
george,5
washington,6
pointing,2
pile,2
garbage,5
caption,1
valley,1
forge,1
20,1
drunk,3
booth,3
andy,14
sets,3
mug,1
seems,4
someone,1
paulie,140
casually,1
mens,1
traverses,2
drunks,2
restroom,4
vile,1
stench,3
remnants,1
sick,3
caked,1
presently,2
trying,3
comb,1
remaining,2
medium,1
height,1
square,2
shouldered,1
personality,1
classic,2
misanthrope,1
id,8
kill,12
friggin,8
moron,3
sisters,4
givin,1
shoulder,4
forget,8
better,10
sister,14
pass,4
21,1
contd,10
annoyed,1
leftovers,1
wrong,2
caddy,2
connect,1
loser,5
sometimes,4
crazy,3
split,2
razor,2
mental,1
mood,5
always,8
sharp,4
overwhelming,3
covers,3
neckline,1
shes,6
enjoy,3
brainy,1
pushin,1
die,3
alone,6
22,1
dyin,1
too,14
neither,4
lets,4
stink,2
guides,3
stumbling,1
talks,1
dryin,1
live,3
dries,1
pal,2
bout,20
thanksgivin,2
bird,4
alotta,2
crap,3
dinner,2
invite,1
suspended,3
television,12
nightly,1
sports,12
broadcast,3
commentator,43
airport,2
interview,4
champion,17
world,18
twentyeight,1
tall,1
smoothmuscled,1
scar,1
colored,1
23,1
followed,4
entourage,3
trainers,2
cornermen,4
tagging,1
group,5
hangerson,1
interviews,1
followers,1
disembark,1
private,2
jet,1
flight,3
high,4
fast,4
apollos,32
automatically,1
everything,6
rate,1
british,1
challenger,10
henry,1
wilcoxson,1
nasty,1
destroyed,1
hurry,1
gettin,5
mac,3
lee,3
green,5
month,2
referring,1
much,12
publicized,1
greatest,6
sportin,1
event,7
countrys,5
history,7
gala,1
occurrence,1
held,4
championship,8
nations,1
cradle,1
january,5
first,20
major,2
our,10
hundredth,2
year,2
wherere,1
draws,1
wife,3
close,3
24,1
miss,1
children,1
seein,3
hopefuls,1
straight,3
camera,10
stay,5
school,7
use,7
brains,2
lawyer,8
doctor,13
carry,3
leather,1
briefcase,1
grunt,1
smell,1
thinker,1
stinker,1
laughs,11
faces,12
jerry,1
simpson,1
kennedy,1
show,10
cuts,6
pensive,1
stare,5
speaking,3
following,3
dialogue,1
cares,1
nomore,1
downhill,3
baseball,3
basketball,1
footballs,1
bank,1
americas,1
sport,1
nuttin,1
squattin,1
double,1
header,1
baseballs,1
news,4
report,1
ends,3
drinks,1
pros,1
jig,1
clowns,2
25,1
clown,1
shot,20
became,2
yourself,4
becoming,4
despondent,2
slumped,2
unconscious,1
customers,1
boldly,1
laughing,2
pours,1
himself,12
atomic,6
hoagie,6
allnight,1
sandwich,1
inc,2
women,1
badlychipped,1
tooth,10
chipped,9
aggressively,2
buy,3
us,6
wine,5
26,1
why,21
sarcastically,2
dime,2
friends,3
mildly,1
embarrassed,4
thunderbird,1
statement,4
whorelike,1
marie,27
brother,6
hangin,3
attitude,3
attempting,1
impress,1
screw,3
awed,1
whatd,1
yoyo,1
gang,4
angered,1
arm,4
teach,2
27,1
scum,2
reluctantly,1
backs,5
step,4
round,16
chump,2
forward,13
scatter,2
backpedaling,1
gun,1
heat,6
dent,1
leads,3
cutting,2
yard,3
beams,1
cast,1
weak,5
flood,1
top,9
building,5
atmosphere,2
somewhat,1
eerie,2
28,1
hang,4
things,9
f,1
age,1
talked,2
whole,5
neighborhood,2
bored,1
attempts,2
nonchalantly,1
tosses,6
ground,2
yella,2
breath,4
maybe,11
shortcut,1
likes,2
anyway,2
mouth,7
wasnt,2
lookin,5
wouldnt,2
serious,4
datin,1
cute,2
getta,2
29,1
nobodys,3
respect,5
word,5
whore,6
youll,8
becomin,1
twelve,2
doesnt,4
act,1
dyou,2
remember,8
hung,1
rep,4
exit,1
standing,7
shadows,2
muggers,4
cigarettes,1
flares,2
pace,1
follow,2
study,2
yards,3
gives,4
loud,2
boxers,1
snort,1
wipes,1
side,8
shoulders,7
slowly,1
peel,1
meander,1
points,7
hope,4
30,1
acting,1
turn,2
exchange,1
impact,1
few,9
fuck,1
creepo,2
dismay,1
jergens,41
office,23
seated,2
offices,1
miles,6
successful,1
