word,frequency
características,81
formas,64
modos,7
austeras,2
simbólicas,6
podrán,13
otorgarse,2
hubieren,14
otro,175
beneficio,13
reparatorio,3
derivado,8
calidad,74
asi,1
reparatorias,2
orden,293
pecuniario,1
deberán,6
siderar,1
hecho,329
reconocida,38
haya,130
reparatoria,1
permanente,47
indica,56
atender,11
circunstancias,274
calificada,1
ambas,37
fuera,76
deben,23
haberse,39
perpetrado,3
b,142
entendiéndose,1
particulares,70
tener,80
actuaban,14
conocimiento,116
tolerancia,6
aquiescencia,6
connivencia,5
precise,1
relación,85
formal,13
tipo,94
contractual,2
producido,28
fundacional,3
ob,2
jeto,1
calificación,39
pueden,50
incluidas,7
privadas,37
manifestaciones,23
públicas,47
puestas,14
disposición,129
tribunales,168
policía,84
local,76
algún,91
tribunal,75
crimen,24
delitos,133
condenadas,22
in,33
cluyen,1
retenciones,2
temporales,6
efectuadas,17
durante,660
allanamientos,52
masivos,20
operaciones,21
peineta,2
u,83
similar,23
control,123
colectivo,18
indiscriminado,11
población3,1
establecido,32
355,11
creó,25
actual,105
3,196
acción,219
hubiera,24
arresto,106
acompañadas,5
consideraron,5
incluidos,8
consideró,9
hubieran,14
tenido,75
resultado,90
consecuencia,141
directa,35
fallecimiento,19
encuentran,50
comprendidos,7
dentro,98
manda,1
to,30
última,48
puesto,55
ya,337
expresamente,24
norma,24
citada,8
limitación,7
atribuciones,38
estipula,1
asumir,17
funciones,79
jurisdiccional,9
pronunciarse,17
responsabilidad,277
arreglo,10
pudiere,5
caber,6
individuales,43
tomado,15
último,69
precisó,3
reglamento,12
aquellas,46
encontraren,2
actualmente,24
fallecidas,4
prestar,22
testimonio,71
ellas,152
direc,7
tos,22
acreditación,8
respectiva,22
normas,121
constituyen,26
básico,9
están,38
constitución,144
especialmente,207
capítulos,12
estableciendo,14
objetivos,29
integrantes,26
plazos,12
apo,1
yos,1
materiales,11
complementariamente,2
código,133
penal,104
cuerpo,372
normativo,18
tipificados,6
algunos,487
transgreden,1
seguridad,176
personales,18
verá,9
adelante,45
normativa,16
aludirá,1
dere,10
chos,10
complementa,1
fortalece,1
tenien,1
do,40
presente,101
ejercicio,66
soberanía,3
reconoce,17
esen,1
ciales,1
emanan,3
naturaleza,39
cuales,202
hallan,5
garantizados,4
tratados,18
internacionales,44
ratificados,5
encuentren,6
vigentes,14
18,177
modalidades,5
labor,42
estuvo,90
orientada,1
recabar,5
personal,356
motivación,22
básicas,8
operó,16
tuvieron,78
fuente,17
contenido,19
sustantivo,2
principios,49
generales,39
cho,3
asimismo,105
respaldo,19
tienen,49
actualidad,6
ámbito,27
continuación,55
señalan4,1
abarca,4
psíquica,10
moral,66
puedan,24
desarrollarse,1
provenga,1
repre,3
sentante,1
público,121
utiliza,9
consecución,2
objeti,1
vos,3
actúen,3
amparo,70
primeros,90
diversos,95
instrumentos,17
propia,55
constitu,3
ción,79
abordan,1
establecen,7
regulatorio,1
determinan,3
convenciones,13
respectivas,20
ellos,441
cabe,87
mencionar,18
claración,2
pacto,9
ci,1
viles,1
americana,7
deberes,11
hombre,190
4,217
todas,162
disposiciones,47
citan,3
estuvieron,94
éstas,49
título,24
ilustrativo,8
concepción,144
contenidos,12
respecto,260
recordar,32
plenamente,15
vigente,31
1925,18
junta,156
dictó,25
varios,211
decretos,50
leyes,88
modificaron,4
materias,21
propias,45
dicha,115
fundamen,1
señalándose,7
posteriormente,250
ello,246
correspondido,3
facultades,40
consti,2
tuyentes,1
asumidas,2
gobierno,243
1976,59
dictaron,4
actas,13
constitucionales,21
finalmente,78
1981,31
comenzó,13
regir,3
bajo,275
limitacio,1
nes,44
impuestas,11
estados,88
excepción,76
constitucional,50
promulgados,1
restringían,2
suspendían,1
vigencia,55
determina,5
das,28
garantías,44
vale,9
legislación,38
encontraban,121
recién,30
fines,92
aun,40
incluía,12
1980,125
fuerza,212
obligatoria,4
doméstico,1
convenios,8
declaraciones,114
plena,17
además,198
considerar,25
imperativas,1
aplicación,295
ius,1
cogens,1
condicio,8
extraordinarias,9
alegarse,1
falta,67
interna,45
obligación,40
respetarlos,1
19,148
convención,19
có,2
digo,2
naciones,36
unidas,35
interamericana,20
prevenir,19
sancionar,10
acto,92
inflija,2
intencionadamente,3
sean,38
físicos,28
mentales,9
obtener,58
ella,151
tercero,27
información,254
confesión,25
castigarla,5
sospeche,4
intimidar,9
coaccionar,6
otras,318
basada,5
discriminación,10
dichos,51
dolo,1
res,17
infligidos,3
funcionario,64
instigación,6
suya,10
consentimiento,9
aquies,2
cencia,2
considerarán,2
únicamente,12
sanciones,23
legítimas,5
inherentes,6
incidentales,2
definición,18
considera,34
realizado,52
intencionalmente,3
inflijan,2
penas,46
investigación,63
criminal,8
medio,73
intimidatorio,2
castigo,23
preventiva,14
pena,75
entenderá,3
tendientes,6
anular,5
personali,1
dad,22
disminuir,7
capacidad,28
mental,18
aunque,96
causen,1
físico,39
angustia,22
asamblea,15
señaló,70
1975,149
constituye,101
agravada,3
deliberada,6
trato,35
cruel,5
inhumano,2
degradante,3
adoptó,5
operativa,4
incorpora,1
elementos,91
am,4
bas,2
infligido,2
obte,1
ner,3
personalidad,7
basadas,4
frimientos,1
agente,24
actúe,3
onu,16
promulgada,2
808,2
publicado,26
viembre,1
1988,32
oea,16
809,2
